supplier_id,supplier_name,contact_name,contact_email,phone,country,is_active,created_at,region
27,Baker and Sons,Amanda Guzman,olewis@rodriguez-rollins.com,417-368-0866x28137,United States,True,2023-12-07 14:35:44,North America
28,"Hoffman, Baker and Richards",Tracy Walker,irodriguez@farmer-bush.net,001-443-430-8003x70033,Canada,True,2023-09-23 03:54:49,North America
29,"Ross, Robinson and Bright",Taylor Taylor,millertristan@campbell-burke.com,555.266.0847x06810,Australia,True,2021-10-21 08:07:14,Asia Pacific
30,"Snyder, Campos and Callahan",Cynthia Haas,aperez@mercer-patterson.com,439.870.5195,United States,True,2022-09-23 06:14:27,North America
31,Burton Ltd,Stephen Davis,xcrosby@smith.info,828.409.4485,Germany,True,2020-04-18 18:02:41,Europe
32,Carlson-Cruz,Margaret Tanner,sandersalexandra@miller.org,694.953.5461,United States,True,2022-07-14 18:46:15,North America
33,"Ferrell, Rice and Maddox",Derek Wright,figueroapatricia@brown.com,8793863210,United States,True,2022-11-08 05:12:11,North America
34,Frazier Inc,David Rodriguez,brookeewing@hall.info,001-633-594-3945x7039,South Korea,True,2023-02-15 05:40:51,Asia Pacific
35,"Dyer, Potter and Mack",James Oconnor,kathy99@avila-owen.biz,404.903.2537x65769,Singapore,True,2022-05-19 19:33:04,Asia Pacific
36,Rodriguez-Graham,Stacey Snyder,thomas96@dixon-hernandez.info,689.243.1910x0900,India,True,2021-05-09 14:23:33,South Asia
37,Smith-Bowen,Joshua Garcia,martineztracy@fuller.com,676-892-1053x3651,United States,True,2020-07-26 14:39:41,North America
38,"Baker, Mason and White",Sean Curtis,rojasmaria@gregory-stanton.biz,+1-404-201-4247x3107,United States,True,2020-12-28 19:31:00,North America
39,Harrell LLC,Carla Jones,eric99@wolf.net,913-379-8440,France,True,2020-02-01 08:31:38,Europe
40,"Romero, Gonzalez and Brooks",Elizabeth Flores,msparks@bates-henry.com,001-223-216-6007x6762,United Kingdom,True,2021-08-25 03:29:31,Europe
41,Ryan PLC,Angela Jackson,lisa88@cisneros.biz,+1-814-947-3404x33700,United States,True,2023-03-26 17:51:25,North America
42,George Group,Nicholas Payne,reyesleonard@ramos-johnson.com,404.751.9577,Canada,True,2022-12-06 17:48:16,North America
43,Rodriguez LLC,Anna Wheeler,nicole27@taylor-baldwin.info,+1-658-482-5562x96575,United States,True,2022-02-23 04:12:47,North America
44,Allen-Allen,Karen Johnson,carrolltracy@jennings.com,+1-478-265-6194x25577,Spain,True,2020-06-14 19:00:58,Europe
45,"Arroyo, Miller and Tucker",Carmen Preston,myerstroy@jensen-gomez.com,282-395-8292x36161,United States,True,2023-10-11 22:33:26,North America
46,Spence PLC,Brian Harris,bryan90@hood.org,001-704-782-3571,France,True,2023-10-09 10:14:23,Europe
47,Anderson Group,Michael Bowen,hubbardcolleen@davis-reed.com,+1-568-963-9561,United States,True,2019-07-05 04:43:34,North America
48,"Martin, Rose and Obrien",Deborah Campbell,qbell@wright.com,(530)881-7214,Canada,True,2023-06-07 21:13:45,North America
49,Hickman Ltd,Anthony Armstrong,lozanocameron@wilson-jackson.net,338-613-0004x1321,Australia,True,2022-06-25 03:56:41,Asia Pacific
50,"Harris, Collins and Carney",Brittany Ward,benjamin69@valenzuela.org,616.856.0945x653,United States,True,2019-05-11 11:28:53,North America
51,"Brooks, Lam and Hayes",Edward Stanley,odomnicholas@morris-davis.info,+1-697-999-0707x550,Singapore,True,2022-04-04 01:33:38,Asia Pacific
52,Walker LLC,Christina Johnson,vazquezjamie@shaw-hubbard.com,(981)669-9570x6071,Brazil,True,2022-07-03 12:17:25,Latin America
53,Chapman and Sons,Edgar Miller,christinacox@harris-reid.com,+1-911-231-7653,South Korea,False,2020-05-13 09:53:48,Asia Pacific
54,"Robinson, Jones and Welch",Elizabeth Sanders,karlwilliams@morales.com,348-473-9610x29087,Spain,True,2023-05-04 08:06:37,Europe
55,Jones Inc,Matthew Davis MD,vargasjoshua@solis.com,949.668.0491x872,Australia,False,2023-10-12 09:28:22,Asia Pacific
56,Jones-Young,Stephen Wood,william46@fernandez.org,(504)995-6121,Italy,True,2022-12-28 06:54:21,Europe
57,"Washington, Ryan and Cummings",Dennis Marshall,jpowers@ibarra.net,530.962.6042x3597,United States,True,2022-09-12 03:30:03,North America
58,"Johnston, Sanchez and Kennedy",Derrick Brown,barbaralewis@hurley.org,001-811-222-2990x775,United States,True,2021-02-20 18:24:48,North America
59,Lee-Davis,Mary Miller,umichael@brown.com,001-385-381-6704x686,United States,True,2022-02-09 09:37:58,North America
60,Gomez-Jenkins,Joshua Arellano,juliecannon@jenkins-dalton.com,245-476-8321,United States,True,2022-12-26 02:13:08,North America
61,"Brown, Valdez and Lucas",Kristen Randall,meghanadams@lucas-scott.org,992-337-8584,United Kingdom,True,2019-05-02 20:07:03,Europe
62,Powell LLC,Jennifer Nichols,richardwilson@johnson.info,+1-729-261-8033x24260,United States,False,2022-02-24 18:26:06,North America
63,Wright and Sons,Karen Keith,bcastro@lucas-johnson.com,501.984.9804x25373,India,True,2023-09-15 20:53:22,South Asia
64,"West, Henderson and Ramirez",Blake Orr,derek44@pierce.info,373.912.6881x2282,United Kingdom,True,2022-09-18 01:01:01,Europe
65,Baxter Inc,Kathryn Lester,brownpeggy@guzman-camacho.biz,819.223.6534x60605,United States,True,2019-09-04 19:16:48,North America
66,Morton-Chase,Megan Oliver,emily16@cameron.net,856.479.3279,Australia,True,2023-05-30 09:36:23,Asia Pacific
67,Williams PLC,Peter Thompson,boydmaria@king.com,898.347.1690,United States,True,2020-01-13 01:13:39,North America
68,Novak and Sons,Dr. Rhonda Martinez,mark96@manning.com,+1-712-605-4647,India,True,2021-12-03 01:24:54,South Asia
69,Russell Group,William Graham,jasonhill@king-lawrence.info,+1-495-947-8769,United States,True,2020-04-18 23:55:30,North America
70,Hancock Inc,Lori Flowers MD,holly15@coleman.com,517-758-8914x44498,Singapore,True,2021-10-10 16:29:46,Asia Pacific
71,Gray Group,Suzanne Jones,thomas54@brewer.com,539-435-4358x64496,Brazil,True,2023-10-27 15:28:30,Latin America
72,House-Glover,James Nguyen,vazquezkristina@king.com,001-543-558-8537x98214,United States,True,2022-09-21 15:19:46,North America
73,Henderson-Bernard,Jimmy Marks,rebecca18@mathews.com,+1-752-475-3674x978,United States,True,2020-05-20 13:20:39,North America
74,"Stanley, Tucker and Lee",Lisa Mills,qpennington@davis-carson.com,991-941-6860x134,India,True,2023-05-29 06:52:47,South Asia
75,Novak PLC,Jason Hernandez,jason27@stewart.com,+1-894-989-6340,France,False,2023-09-28 20:21:50,Europe
76,"Daniels, Adkins and Brown",Olivia Ayers,michelle77@gutierrez.com,+1-217-366-5122x150,Japan,True,2023-12-12 10:34:42,Asia Pacific
77,"Woods, Calhoun and Schmidt",Kristine Garcia,hollyhunter@fisher-daniel.net,218-384-2163x090,Brazil,True,2020-12-19 23:36:33,Latin America
78,Yu Inc,Joseph Cooper,shawn00@may.com,594-446-3339x99485,United States,True,2022-02-07 00:15:54,North America
79,Jones Inc,James Washington,moralescourtney@johnston-rodriguez.com,2894532638,United Kingdom,True,2023-03-23 10:49:23,Europe
80,"Hensley, Powell and David",Amanda Hill,melaniejennings@hayes-russo.com,599-547-1136,United States,False,2023-12-03 22:57:48,North America
81,"Sanchez, Wheeler and Harvey",Lee Steele,glenn95@gonzalez-perry.com,892.923.4103x469,Mexico,True,2019-10-02 20:48:59,North America
82,Sandoval-Cunningham,Steve Rivera,kwalter@smith.net,831.216.7726,Germany,True,2019-12-22 03:42:25,Europe
83,Donovan-Harris,Patrick Mccall,rebeccamccann@green.com,+1-943-876-8550,United States,True,2022-04-08 06:16:15,North America
84,"Edwards, Baker and Anderson",Alicia Roth,mwilliamson@hernandez-rubio.com,793.752.1962x633,United States,True,2023-09-25 14:15:56,North America
85,"Evans, Stewart and Walton",Douglas Vasquez,smithalicia@wilcox-snyder.com,(243)843-6970x9317,United States,False,2022-10-10 17:57:46,North America
86,Smith PLC,Annette Melton,jamesatkins@roberts-snyder.com,001-355-860-7676,United States,True,2022-10-03 11:54:12,North America
87,"Ferrell, Jones and Lewis",William Ramos,mgates@carney.com,553-245-4722x398,Japan,True,2020-06-28 16:01:14,Asia Pacific
88,Anderson-Bailey,Debra Butler,ywhite@johnson.com,(650)931-2198x0418,Germany,True,2022-01-08 00:03:26,Europe
89,Suarez LLC,Chelsea Lewis,xsolomon@sutton.com,(442)364-2364,Netherlands,False,2023-09-28 10:20:03,Europe
90,Moore-Bass,Natalie Malone,terri63@reyes.com,819.409.2487,Canada,True,2021-04-04 00:38:15,North America
91,"Turner, Riggs and Roman",Samantha Robertson,hawkinsbrett@ruiz.org,303.991.1142,United States,False,2023-07-13 14:33:29,North America
92,"Smith, Montoya and Evans",Eric Hunter,smithwilliam@turner-foster.com,+1-452-628-2305,Japan,True,2023-12-09 20:29:43,Asia Pacific
93,"Garcia, Humphrey and Baker",Samuel Suarez,tammyhansen@white.com,708.680.6220x72239,Brazil,True,2020-06-15 09:05:29,Latin America
94,Newton and Sons,Corey Whitaker,uanderson@moreno.com,237.621.3290x162,Australia,True,2022-11-21 06:16:35,Asia Pacific
95,Campbell-Clark,Danielle Bryant,victormcpherson@adkins-howe.com,887.668.8687x859,Brazil,True,2021-03-27 01:38:02,Latin America
96,Harris-Walters,Michele Hill,chloe48@graham-martin.info,862.887.2031x95419,Canada,True,2023-10-12 09:24:21,North America
97,Wagner-King,Kathy Reid,angelalivingston@yates.com,(445)605-7303x6279,Canada,True,2022-12-06 23:04:48,North America
98,Davis Group,Andre Watson,barrygreen@mcdonald.info,(932)403-7476x7753,United Kingdom,True,2022-02-12 03:04:21,Europe
99,Williams-Cook,Cassandra Harrell,alexandervanessa@washington.com,(603)721-4505x76619,United States,True,2023-01-12 11:19:49,North America
100,Walsh LLC,Hannah Martin,baileyjames@white-jackson.net,487.607.1553x48201,United States,True,2021-07-07 18:15:56,North America
101,Figueroa PLC,Nicole Barker,anna93@bolton.com,7089385076,United States,True,2023-02-22 10:50:49,North America
102,"Patterson, Smith and Jones",James Martin,pknapp@rhodes-clay.com,(295)345-0891x776,Germany,False,2022-11-09 07:40:54,Europe
103,"Mckee, Gardner and Davenport",Traci Vincent,erin16@garza-bean.com,(865)674-2231,United States,True,2020-12-23 17:36:59,North America
104,"Tran, Jordan and Williams",Megan Adams,anthonystevens@keller.org,(830)604-0236x9362,Canada,False,2022-07-30 10:39:48,North America
105,Nolan-Flynn,Alejandro Deleon,riverabradley@tapia.org,901.420.4713,Spain,False,2023-04-22 10:08:11,Europe
106,Nolan and Sons,Alexa Buck,jasonwilliams@campbell.net,+1-771-417-5957x49885,United States,True,2021-07-21 12:04:54,North America
107,"Wright, Garcia and Deleon",Lindsay Smith,qdavis@allen.com,+1-998-849-3306x74584,United Kingdom,True,2023-10-03 02:41:20,Europe
108,Dickson-Brady,Robert Torres,phelpsfrank@mitchell-goodwin.com,5949412833,Japan,True,2023-01-20 11:56:55,Asia Pacific
109,Hancock and Sons,Maria Coleman,evanslaurie@drake.com,(718)685-6669,United States,True,2021-09-21 02:01:03,North America
110,Johnson-Doyle,Gregory King,elizabeth58@burns.info,832-897-1506,United States,True,2023-09-06 09:08:30,North America
111,Patton-Jenkins,Michael Holloway,anna61@shepherd-austin.biz,(967)905-5143,United States,True,2020-09-18 16:42:43,North America
112,"Shields, Cochran and Adams",Brian Hunt,gdavis@mcpherson-rhodes.com,(793)866-3439x2529,United States,True,2020-04-24 21:35:30,North America
113,"Rodriguez, Brennan and Garrison",Sarah Brooks,prose@miller.info,311-410-2867,Italy,True,2020-10-08 01:21:57,Europe
114,Gonzalez Group,Lisa Evans,edgar24@mills.org,3072202455,India,True,2023-02-06 16:21:22,South Asia
115,Torres-Pope,Arthur Mcneil,arnoldsamantha@rodriguez.org,(245)510-9109,Germany,True,2022-04-15 15:21:53,Europe
116,Walker Ltd,Shannon Green,michael91@smith.com,(367)614-9498,Netherlands,True,2020-12-13 01:33:52,Europe
117,Ross LLC,Stephanie Evans,awilliams@evans.info,(517)694-2817,India,True,2022-10-09 21:54:19,South Asia
118,Rasmussen LLC,Ralph Yoder,matthew23@miller.com,6658277584,United States,True,2022-01-30 19:28:14,North America
119,May-Ross,Rebekah Greene,hamiltonandrew@wilson-jackson.info,(434)353-3722x01091,Spain,True,2019-04-21 05:37:22,Europe
120,"Rivera, Johnson and Wiley",Melanie Griffith,qholt@guzman.org,322.614.5593x766,Australia,True,2023-04-23 09:58:27,Asia Pacific
121,White-Estes,Yolanda Green,hannah64@martinez.com,001-637-805-2635x100,India,True,2023-05-18 09:45:15,South Asia
122,Johnson-Carlson,James Johnson,cabreraheather@trevino.info,(777)465-7256,Spain,False,2022-04-08 07:32:36,Europe
123,Chandler-Edwards,Laura Lee,debragraham@garrison.info,4245617520,United States,True,2023-02-22 00:17:20,North America
124,"Joyce, Wilson and Lam",Courtney Nichols,thomasjohnson@barrera.info,297.343.2600x55955,United States,True,2021-07-11 12:06:14,North America
125,Scott Ltd,Susan Powers,cruiz@sanchez.biz,583.832.5848x6899,United States,True,2023-10-27 23:00:16,North America
126,Smith-Frost,Sarah Pittman,cookcurtis@reynolds.org,001-307-998-4870x45069,United Kingdom,True,2022-09-25 08:32:49,Europe
127,"Mcdaniel, Bentley and Mclaughlin",Catherine Davis,benjamin67@garza.info,(679)893-5937x44039,India,True,2022-10-25 21:00:36,South Asia
128,Diaz Inc,David Stokes,jenniferrice@ray-tran.com,308-630-3736x060,Mexico,True,2020-02-02 09:23:12,North America
129,"Mccall, Hanson and Alvarado",Catherine Frazier,hsmall@dean-lucas.info,+1-586-608-4907,United States,True,2023-12-08 14:03:18,North America
130,Cortez LLC,Brandon Kelly,ssmith@lee.com,001-913-268-5283x06153,Canada,True,2021-11-27 04:03:29,North America
131,"Parker, Ortiz and Powell",Elizabeth French,sandra72@sharp-myers.biz,524-424-4626,United Kingdom,True,2020-11-02 21:17:44,Europe
132,Spencer-Lee,David Carter,laura29@campbell.com,(314)648-8112x103,United States,True,2019-11-26 15:26:17,North America
133,"Bentley, Byrd and Orr",Julie Delacruz,manderson@obrien.biz,(317)951-8878,United States,True,2022-12-11 12:42:13,North America
134,"Carroll, Sullivan and Bass",Terry Jones,ntorres@williams.com,+1-394-315-1526x38409,United States,True,2022-08-13 21:58:35,North America
135,Mitchell-Jordan,Kathryn Dillon,greggvillarreal@johnson.org,(225)728-8375,South Korea,True,2023-04-09 19:31:35,Asia Pacific
136,"Lawson, Morris and Ramos",Edwin Brown,davidwalker@chaney-glover.com,(961)986-3239x7913,United States,True,2023-09-03 17:32:19,North America
137,"Lewis, Kennedy and Santana",Brenda Gonzalez,paula89@garcia.info,(755)830-0730x9505,Canada,True,2019-11-07 10:27:51,North America
138,"Jackson, Miller and Robertson",Keith Knox,villegaskimberly@casey.com,001-905-971-2198x8192,France,True,2023-10-30 08:41:18,Europe
139,"Harvey, Davis and Crane",Eugene Baldwin,jacksondavid@bartlett.com,+1-885-619-0534,United Kingdom,True,2020-08-31 15:40:44,Europe
140,Chambers and Sons,Katherine Welch,fgill@harrell.com,7108424624,Singapore,True,2023-02-19 01:54:43,Asia Pacific
141,Hernandez Inc,Mark Smith,allisonscott@hammond-smith.info,285-617-4460,Singapore,True,2023-06-29 01:35:06,Asia Pacific
142,Riggs PLC,Philip Jackson,justin21@watson-fischer.com,321-428-9915x11455,United States,True,2022-12-23 11:59:56,North America
143,Gibson Ltd,Katherine Gallagher,edwardmolina@cobb-taylor.biz,001-339-613-0448,Canada,True,2023-09-11 07:05:43,North America
144,"Lee, Horton and Snyder",Lucas Schultz,dhardin@norton.com,+1-641-260-4615,United States,True,2021-08-07 08:15:52,North America
145,Hernandez Ltd,Vincent Reyes,robbinszachary@miller.biz,(711)890-1707,United States,True,2022-05-21 11:33:03,North America
146,Stafford Inc,Curtis Watson,ryanlong@keller.com,+1-414-429-8315,United States,True,2023-06-16 08:22:58,North America
147,Robinson-Brock,Frank Whitaker,levinetina@liu.net,+1-691-507-3228x3608,Germany,True,2022-12-13 09:49:33,Europe
148,"Holmes, Williams and Wright",Michael Sims,jennifer55@wilcox.org,883.806.3963x8452,Canada,True,2021-10-29 01:41:01,North America
149,Bryant Group,Michael Cooper,isabellagriffin@clay.org,001-944-239-1649,United States,True,2022-11-30 15:23:04,North America
150,"Schmidt, Hansen and Stewart",James Chapman,zterry@sullivan.com,369-534-2929,United States,True,2023-07-21 19:55:54,North America
151,Salazar-Ball,Rodney Evans,peter28@campbell.net,(603)330-1623,Spain,True,2021-09-15 06:48:09,Europe
152,"Simmons, Meadows and Griffin",Nicholas Carlson,katherine20@zamora.org,001-903-410-6153,United States,True,2020-04-05 01:12:31,North America
153,Manning Group,Stephen Cowan,john46@rodriguez.net,(515)456-6847,United States,True,2023-10-09 00:55:41,North America
154,Green-Wright,Steven Howard,david17@armstrong-smith.com,265.633.7746,Canada,True,2023-07-05 18:17:40,North America
155,"Ramirez, Strickland and Washington",Travis Hull,lindazhang@espinoza.org,5678200784,Singapore,True,2020-07-08 03:53:12,Asia Pacific
156,Hill Inc,Darryl Acosta,michaelmitchell@armstrong.com,342-944-2607,United States,True,2020-09-24 23:12:38,North America
157,"Mitchell, Nelson and Flores",Nicholas Lawrence,murphybrandi@gibson-thomas.biz,(943)473-4764x273,France,True,2020-12-18 21:48:04,Europe
158,"Miller, Hernandez and Reyes",Jacob Santos,dmiller@beasley-alvarez.info,6377638821,Brazil,True,2021-02-18 01:36:57,Latin America
159,Mccarthy Inc,Shawn Scott,woodalicia@hansen.org,541.448.4601x91344,United States,True,2022-11-09 13:42:09,North America
160,Russell-Daniels,Amber Vang,cfields@galvan.com,+1-578-402-0586x9507,Japan,True,2023-05-24 01:38:09,Asia Pacific
161,Brown-Wall,Martha Smith,williamwashington@anderson-bush.net,746-344-9369,United Kingdom,True,2022-07-19 14:41:37,Europe
162,Stein-Silva,Jennifer James,bensonstanley@francis.com,(979)533-5055x7385,Germany,True,2022-01-14 11:16:26,Europe
163,"Smith, Gilmore and Johnston",Kara Hernandez,guzmanricky@wood.com,(380)311-9236x03768,Germany,True,2021-05-29 04:14:59,Europe
164,Smith-Bell,Lorraine Turner,davidtorres@turner-tucker.com,+1-387-623-3351x04096,Australia,True,2023-08-19 19:17:50,Asia Pacific
165,Castaneda-Ashley,Mary Nelson,kristenfisher@small-lewis.info,+1-597-231-5391x1498,United States,True,2022-01-13 06:22:20,North America
166,Medina-Navarro,Breanna Rivas,martinezmichael@butler.com,548.620.7365x1189,India,True,2023-08-12 23:53:07,South Asia
167,"Hurst, Freeman and Nelson",Nathan Wilson,ymccullough@alvarez-cortez.org,2656578201,United States,True,2022-12-08 20:50:00,North America
168,Johnson-Rogers,Brian Gonzalez,kathleenwagner@gill-contreras.com,422.630.2333,United States,True,2020-02-05 09:29:27,North America
169,"Yates, Ramsey and Pittman",Dennis Mills,christopher99@hughes-mccullough.com,407.339.2013x546,United States,True,2022-11-17 13:57:48,North America
170,Hooper PLC,Michael Phillips,rubiopamela@ramirez.com,(876)302-5082,Australia,True,2021-06-16 13:33:38,Asia Pacific
171,Meadows PLC,Jon Clark,ann18@lee.net,423-612-6163,France,True,2022-10-03 04:57:13,Europe
172,"Alvarado, Miller and Patterson",Erin Smith,bernardaimee@shaw-smith.net,001-588-989-9572x989,United States,False,2019-05-25 17:03:20,North America
173,White-Green,Susan Conley,suzannehill@sanchez.org,(929)374-5493x03646,Canada,True,2020-03-02 23:02:29,North America
174,Lewis-Murphy,Brittany Davis,imiller@flores.com,001-812-403-8187,United States,True,2023-03-28 13:06:20,North America
175,Ramirez-Bean,Misty Garcia,samuel60@stewart.com,3825832308,Germany,True,2020-02-04 01:55:48,Europe
176,King-Miller,David Hinton,justinwhite@moore.com,+1-781-458-8144,United States,True,2023-03-05 11:17:08,North America
177,Curry Inc,John Garcia,mendezmark@reeves.biz,(406)973-2318,France,True,2021-10-21 21:41:16,Europe
178,Walker-Jones,Andrew Roberts,floresrobert@scott-david.com,268-215-7245,United Kingdom,True,2022-12-06 23:06:04,Europe
179,"Williams, Johnson and Wright",Emily Rodgers,harriskaren@young.com,001-900-700-1529x11371,South Korea,True,2022-11-26 05:39:57,Asia Pacific
180,Howell and Sons,Peter Williams,bruce78@jones-johnson.com,6906255618,United States,True,2022-10-22 03:05:56,North America
181,Wells Inc,Mary Jackson,adamstabitha@garcia.com,321-482-9987x478,United States,False,2021-02-14 12:21:30,North America
182,"Gould, Marshall and Scott",Jeffrey Howell,ashley71@mason.net,(848)990-5670,United States,True,2020-05-20 03:57:51,North America
183,Jackson-Lawson,Anna Briggs,kimberlymedina@ali-peters.com,7093004365,Italy,True,2019-05-03 21:00:39,Europe
184,"Higgins, Strickland and Martin",James Rivers,hesssusan@roberts.info,(684)582-6691x362,Netherlands,False,2021-04-13 13:03:37,Europe
185,Rodriguez-Johnson,James Jefferson,carla65@lewis.com,550-554-2960x80706,United States,True,2022-08-13 15:45:42,North America
186,Johnston-Odonnell,Mariah Robles,turnerrandall@rivas.net,(699)287-9509x82210,Germany,False,2023-08-20 03:48:18,Europe
187,Sanders-Espinoza,Michael Brown,natalie39@bernard.com,664-481-8804,India,True,2023-06-15 23:51:35,South Asia
188,Vargas Ltd,Caitlin Perry,tiffany74@bates.com,+1-377-838-3638,Australia,True,2023-06-17 00:49:49,Asia Pacific
189,Garcia LLC,Rebekah Gregory,stevegreene@sloan.com,832-612-6942x894,Canada,True,2023-11-09 12:42:32,North America
190,"Burke, Martinez and Riggs",James Howard,asmith@thompson.info,(303)662-5863,United States,True,2022-11-18 03:28:12,North America
191,Reed Group,Michael Roberson,ymedina@curtis.info,001-841-570-6462x55402,United States,True,2021-05-28 19:20:13,North America
192,"Wood, Hunter and Peterson",Bianca Knapp,gomezlisa@howard.com,001-655-682-4301x7646,Spain,True,2023-12-31 17:25:55,Europe
193,Short-Garcia,Jason Williams,fordsharon@smith-paul.com,798.480.3153x88824,Spain,True,2022-12-01 05:13:32,Europe
194,Reid-Poole,Ernest Bush,james94@walker.com,790.550.4043x333,Germany,True,2022-05-22 02:08:28,Europe
195,"Hernandez, Thompson and Boyd",Patricia Ray,trevor93@gonzalez.biz,949.351.6321x11978,United States,True,2020-06-24 22:58:42,North America
196,"Nelson, Morton and Medina",Vanessa Santiago,kaneashley@jackson-lee.org,+1-509-433-9137,United States,True,2022-08-04 12:46:48,North America
197,Marshall-Petersen,Joseph Haynes,cameronanderson@anderson.com,(353)906-0119x8756,Japan,False,2022-12-22 15:11:35,Asia Pacific
198,"Adams, Christian and Rivas",Matthew Wright,james08@king.biz,368.480.0230x09156,Spain,False,2023-12-29 04:41:57,Europe
199,Ramirez Group,Michael Cruz,nashmarcus@hill-frazier.info,+1-880-236-5774x491,Netherlands,True,2022-02-18 03:50:43,Europe
200,Christensen PLC,Kristin Huerta,wward@stephenson.com,+1-336-659-5201x491,Brazil,True,2021-06-25 20:55:09,Latin America
201,"Barnett, Rogers and Snyder",Mason Moore,samantha87@smith-lee.com,284-433-6875,Germany,True,2023-08-09 07:50:30,Europe
202,White-Lewis,Sarah Booth,mooneyjeremiah@coleman.com,001-763-722-3998x21374,United States,True,2020-08-25 18:05:05,North America
203,Peterson-Beard,John Allen,lance10@reynolds-johnson.com,(511)940-4288x60505,United States,True,2021-04-21 13:19:56,North America
204,"Beard, Peters and Black",Amber Walker,john73@wall-underwood.net,(566)708-1126x0030,Spain,True,2019-12-11 06:23:00,Europe
205,Miller Ltd,Jennifer Young,sherryparsons@gonzales.com,(569)610-6271x5312,Germany,True,2023-10-04 13:26:06,Europe
206,Freeman-Chang,Robert West,villegassabrina@edwards-abbott.com,450-568-8269x17768,United States,True,2023-11-10 05:37:57,North America
207,"Alvarez, Joseph and West",Jillian Wilson,bryanlang@turner.biz,544.901.3480x87354,United States,True,2021-12-14 11:07:26,North America
208,Davis and Sons,Matthew Garcia MD,garciabrian@phillips.biz,+1-988-226-0335x91015,France,True,2023-11-06 15:00:20,Europe
209,Holt-Torres,April Davis,williamsonrobert@cobb.info,+1-908-659-9144x920,United States,True,2021-07-15 16:53:27,North America
210,"Wood, Tran and Cooper",Lisa Torres,nhobbs@morgan.com,001-826-699-9699,United States,False,2023-09-01 12:48:15,North America
